time,temperature_2m,relative_humidity_2m,precipitation,pressure_msl,wind_speed_10m,cloud_cover,hour,dayofweek,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_roll_mean_3,temperature_2m_roll_mean_6,temperature_2m_roll_std_6,is_hot,is_raining,strong_wind,target_t_plus_1
2025-11-12 05:00:00,9.1,86,0.0,1010.5,11.4,100,5,2,11,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,9.2,9.6,9.9,9.299999999999999,9.783333333333333,0.5913261931173577,0,0,0,8.9
2025-11-12 06:00:00,8.9,85,0.0,1010.5,12.2,96,6,2,11,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,9.1,9.2,9.6,9.066666666666665,9.516666666666667,0.5636192568273966,0,0,0,8.6
2025-11-12 07:00:00,8.6,85,0.0,1010.4,12.5,97,7,2,11,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,8.9,9.1,9.2,8.866666666666667,9.216666666666667,0.4708148963941855,0,0,0,8.3
2025-11-12 08:00:00,8.3,85,0.0,1010.8,12.9,80,8,2,11,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,8.6,8.9,9.1,8.6,8.95,0.45934736311423585,0,0,0,8.8
2025-11-12 09:00:00,8.8,83,0.0,1011.0,13.2,91,9,2,11,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,8.3,8.6,8.9,8.566666666666666,8.816666666666668,0.33115957885386443,0,0,0,10.0
2025-11-12 10:00:00,10.0,81,0.0,1011.1,9.4,81,10,2,11,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,8.8,8.3,8.6,9.033333333333333,8.950000000000001,0.5822370651203871,0,0,0,11.6
2025-11-12 11:00:00,11.6,75,0.0,1010.9,10.4,100,11,2,11,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,10.0,8.8,8.3,10.133333333333333,9.366666666666667,1.2372011423639517,0,0,0,13.1
2025-11-12 12:00:00,13.1,71,0.0,1010.6,10.4,100,12,2,11,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,11.6,10.0,8.8,11.566666666666668,10.066666666666666,1.9200694431886223,0,0,0,14.1
2025-11-12 13:00:00,14.1,70,0.0,1010.0,9.8,99,13,2,11,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13.1,11.6,10.0,12.933333333333332,10.983333333333333,2.3455631875237697,0,0,0,14.5
2025-11-12 14:00:00,14.5,71,0.0,1009.6,10.0,100,14,2,11,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,14.1,13.1,11.6,13.899999999999999,12.016666666666666,2.2920878400852507,0,0,0,14.9
2025-11-12 15:00:00,14.9,74,0.0,1008.6,8.4,100,15,2,11,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,14.5,14.1,13.1,14.5,13.033333333333333,1.8991226044325504,0,0,0,15.2
2025-11-12 16:00:00,15.2,72,0.0,1008.2,13.6,100,16,2,11,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,14.9,14.5,14.1,14.866666666666665,13.9,1.3431306712304694,0,0,0,14.5
2025-11-12 17:00:00,14.5,76,0.0,1007.9,11.4,100,17,2,11,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,15.2,14.9,14.5,14.866666666666665,14.383333333333333,0.7332575718440836,0,0,0,14.0
2025-11-12 18:00:00,14.0,80,0.0,1007.9,12.3,99,18,2,11,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,14.5,15.2,14.9,14.566666666666668,14.533333333333333,0.45898438608157754,0,0,0,13.7
2025-11-12 19:00:00,13.7,80,0.0,1008.1,12.9,98,19,2,11,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,14.0,14.5,15.2,14.066666666666668,14.466666666666669,0.5537749241945524,0,0,0,13.1
2025-11-12 20:00:00,13.1,81,0.0,1007.9,12.6,97,20,2,11,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13.7,14.0,14.5,13.6,14.233333333333334,0.7840068026915838,0,0,0,13.2
2025-11-12 21:00:00,13.2,81,0.0,1007.9,13.5,100,21,2,11,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13.1,13.7,14.0,13.333333333333334,13.950000000000001,0.8018728078691848,0,0,0,13.2
2025-11-12 22:00:00,13.2,81,0.0,1008.1,13.3,100,22,2,11,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13.2,13.1,13.7,13.166666666666666,13.616666666666665,0.5564770136013478,0,0,0,13.2
2025-11-12 23:00:00,13.2,78,0.0,1008.2,13.6,98,23,2,11,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13.2,13.2,13.1,13.2,13.399999999999999,0.36331804249170785,0,0,0,13.6
2025-11-13 00:00:00,13.6,72,0.0,1008.4,15.9,35,0,3,11,0.0,1.0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,13.2,13.2,13.2,13.333333333333334,13.333333333333334,0.25033311140692616,0,0,0,14.4
